gene	p	score
OR2AG1	0.834555851181114	-0.972326191923023
OR1K1	0.8367	-0.980985281122779
OR5D16	0.83681224183804	-0.981440593514851
OR6B2	0.840476120478031	-0.996416624064894
OR1B1	0.84299342927281	-1.0068369364394
OR10AG1	0.843195548957062	-1.00767834936294
OR1A2	0.850277087712593	-1.03762253008326
OR8B8	0.850321186552794	-1.03781191859726
OR6N1	0.86662673271693	-1.11058613253999
OR6P1	0.8717	-1.13446391965404
OR2A5	0.874211733231416	-1.14652851993829
OR2G3	0.881341045730497	-1.18171725718385
OR52A1	0.881822458069353	-1.18414647960508
OR2G2	0.88329241940937	-1.19160755519781
OR1Q1	0.883773831748225	-1.19406552766869
OR51I1	0.889039968248835	-1.22143843166834
OR2AK2	0.891142012965059	-1.23262427976623
OR1L1	0.898991606520748	-1.2758266999914
OR5AU1	0.905316115186171	-1.31245170899586
OR6C76	0.9062	-1.31771222676614
OR10A2	0.911625924238193	-1.35083544359576
OR10A4	0.911625924238193	-1.35083544359576
OR5K4	0.921739258257508	-1.41686813819155
OR2F1	0.92458730835379	-1.43662216065711
OR51V1	0.926792250363815	-1.45230974425136
OR2F2	0.932749268694233	-1.4965842815723
OR2B11	0.934425024621852	-1.50958265184217
OR6C3	0.9389	-1.54560497074277
